date,INR,KRW,MYR,IDR,PHP,BRL,PLN
2016-09-30,13.711999999999989,-1.0,4.0,,30.25,16.0,-0.6777000000000015
2016-10-07,6.453000000000003,0.5,6.5,,34.5,15.0,1.5755000000000052
2016-10-14,6.768999999999977,-0.5,-2.0,,29.0,-3.0,-0.5520999999999958
2016-10-21,-7.1769999999999925,2.162399999999998,-3.0,,9.0,-13.0,-4.25
2016-10-28,-9.0,-1.0,1.0,,-3.0,5.0,0.4451999999999998
2016-11-04,-1.453000000000003,4.25,6.0,,-3.0,13.0,0.22050000000000125
2016-11-11,1.7230000000000132,12.5,36.0,,10.0,44.0,3.0
2016-11-18,7.1769999999999925,11.837600000000002,51.0,,16.0,54.0,5.25
2016-11-25,5.3799999999999955,10.0,45.0,,10.0,30.0,6.420500000000004
2016-12-02,4.0,3.75,32.0,,3.0,33.0,7.2039999999999935
2016-12-09,-5.141999999999996,-11.0,-17.0,,-16.0,-20.5,1.0
2016-12-16,-12.006,-8.5,-27.0,,-21.0,-21.0,0.9904999999999973
2016-12-23,-6.689999999999998,-6.5,-28.0,,-13.0,-24.0,-0.1880000000000024
2016-12-30,-7.0,-4.5,-19.0,,-8.0,-37.5,-2.0
2017-01-06,-6.456000000000017,3.0,-6.0,,-12.0,-33.5,-8.0
2017-01-13,-6.068999999999988,4.5,-11.0,,-8.0,-43.0,-9.626899999999992
2017-01-20,-8.689999999999998,1.5,-9.0,,-10.0,-29.0,-10.0
2017-01-27,-10.507000000000005,0.5,-12.0,,-13.564099999999996,-30.5,-12.0
2017-02-03,-8.59299999999999,1.2220000000000013,-7.332999999999998,,-7.676299999999998,-21.0,-3.0
2017-02-10,-11.963999999999999,-2.0,-14.0,,-13.000799999999998,-25.0,1.6363999999999947
2017-02-17,-10.0,0.0,-17.0,,-15.0,-22.0,-1.0
2017-02-24,-18.492999999999995,-1.0,-21.0,,-15.435900000000004,-27.0,4.754400000000004
2017-03-03,-21.564999999999998,-1.7220000000000013,-17.667,,-10.323700000000002,-21.0,-1.0
2017-03-10,-14.256000000000014,0.0,-6.0,,-1.9992000000000019,7.0,-3.0
2017-03-17,-17.0,-4.5,-14.0,,-8.0,-19.0,-2.4682999999999993
2017-03-24,-1.0,5.5,2.0,,3.0,13.0,-2.754400000000004
2017-03-31,2.0,6.0,-4.0,,-2.0,8.0,0.0
2017-04-07,-1.5189999999999912,4.5,-3.0,,-5.469700000000003,-9.0,-2.0
2017-04-14,4.834000000000003,19.5,14.0,,6.0,12.0,0.9682999999999993
2017-04-21,0.6260000000000048,6.5,3.5,,0.0,-12.0,-1.0
2017-04-28,0.0,5.0,4.0,,-2.0,-7.0,-1.0
2017-05-05,-1.186000000000007,5.0,-3.0,,-3.530299999999997,-12.0,-0.34789999999999566
2017-05-12,-7.078000000000003,-5.5,-11.0,,-6.0,-23.0,-1.0
2017-05-19,-6.626000000000005,5.0,-6.5,,-5.356099999999998,21.0,-1.2861000000000047
2017-05-26,-4.939999999999998,0.5,-7.0,,-2.0,18.0,-1.3229000000000042
2017-06-02,-6.0,-1.5,-10.0,,-0.7400999999999982,25.0,-0.6521000000000043
2017-06-09,-5.756,-2.5,-12.0,,-3.0,36.0,-2.5
2017-06-16,-9.14,-10.0,-25.0,,-7.0634000000000015,-6.0,-4.713899999999995
2017-06-23,-5.060000000000002,-4.0,-14.0,,-3.0,4.0,-4.677099999999996
2017-06-30,-5.0,-1.0,-12.0,,-2.259900000000002,4.0,-4.0
2017-07-07,0.5829999999999984,9.457,-1.7232999999999947,,4.504099999999994,0.9650000000000034,-1.684899999999999
2017-07-14,-0.6899999999999977,7.0,2.0,,0.8447000000000031,-17.0,-0.5116999999999976
2017-07-21,-5.543000000000006,6.0,-2.791700000000006,,-1.5,-29.0,2.0
2017-07-28,-4.140000000000001,2.0,-4.0,,-6.079599999999999,-28.0,0.0
2017-08-04,-10.582999999999998,-5.457000000000001,-9.57050000000001,,-9.504099999999994,-41.965,-4.315100000000001
2017-08-11,-4.334000000000003,11.5,3.0,,2.574799999999996,-17.0,-3.9883000000000024
2017-08-18,-5.794299999999993,6.0,-4.703699999999998,,-3.8204000000000065,-9.0,-7.0
2017-08-25,-7.654700000000005,5.5,-6.0,,-1.9204000000000008,-16.0,-6.136400000000002
2017-09-01,-8.0,3.5,-8.706199999999995,,-9.0,-6.0,-4.0
2017-09-08,-9.652000000000001,0.5,-14.0,,-13.1888,-25.0,-3.4953999999999965
2017-09-15,-6.998500000000007,4.5,-13.504599999999996,,-8.679599999999994,-25.5,-3.0
2017-09-22,3.794700000000006,9.5,-8.5,,-7.0,4.0,1.1364000000000019
2017-09-29,4.75,13.5,-1.0,,5.0,4.0,4.0
2017-10-06,3.6398999999999972,0.0,-7.0,,1.3348000000000013,7.0,-0.00460000000000349
2017-10-13,4.106400000000008,1.3152000000000044,-1.0,,4.0,4.5,-4.0
2017-10-20,-4.1299999999999955,-2.0,-4.5,,1.5,-32.0,-9.0
2017-10-27,-5.7853000000000065,-2.75,-6.5,,-2.5,-22.0,-9.0
2017-11-03,-3.8238999999999947,-1.0,-2.0,,-0.6460000000000008,-13.0,-4.043599999999998
2017-11-10,-2.7706000000000017,3.6847999999999956,5.0,,5.0,0.0,0.0
2017-11-17,-0.8567000000000036,-2.5,5.0,,5.5,6.5,2.0
2017-11-24,1.8671000000000078,-9.75,1.5,,2.5,-5.0,1.5244
2017-12-01,0.0,-12.0,-0.5,,-0.5,-3.0,-0.9564000000000021
2017-12-08,0.8588000000000022,-16.0796,-6.885100000000001,,-8.0,-14.0,1.0067000000000021
2017-12-15,-0.5521999999999991,-11.0,-4.5,,-7.0711999999999975,-8.5,-0.27839999999999776
2017-12-22,0.6681999999999988,-6.75,-4.5,,-5.5,-4.0,-2.5244
2017-12-29,-0.19310000000000116,-4.0,-3.3928999999999974,,-3.6004999999999967,-10.0,0.0
2018-01-05,-5.252400000000009,-8.9204,-8.429299999999998,,-5.0,-21.0,-0.5731000000000037
2018-01-12,-6.2911,-12.5,-11.5,,-9.928800000000003,-22.0,0.016399999999997306
2018-01-19,-6.138999999999996,-9.75,-5.0,,-6.5,-15.0,0.0
2018-01-26,-6.056899999999999,-7.5,-4.107100000000003,,-4.399500000000003,-19.0,-0.7620999999999967
2018-02-02,-1.0287999999999897,1.5,3.314399999999999,,1.0,6.0,-1.7434000000000012
2018-02-09,5.829999999999998,14.5,17.0,,18.0,30.0,-2.7379999999999995
2018-02-16,3.638999999999996,7.0,7.5,,10.0,4.0,0.6816000000000031
2018-02-23,3.75,6.0,8.0,,9.0,11.0,0.35769999999999413
2018-03-02,3.7223999999999933,0.5,4.5,,6.0,5.0,0.30980000000000274
2018-03-09,-4.5,-14.0,-5.0,,-4.0,-30.0,0.6096000000000004
2018-03-16,-3.5,-7.0,0.0,,0.0,-6.0,-0.6070000000000064
2018-03-23,7.5,2.5,10.0,,11.0,21.0,7.1688000000000045
2018-03-30,8.200000000000003,2.0,9.5,,9.0,6.0,-2.0
2018-04-06,12.400000000000006,6.5,8.0,,7.3297000000000025,25.0,0.5444999999999993
2018-04-13,10.456599999999995,4.184199999999997,8.0,,7.5,23.0,1.357200000000006
2018-04-20,1.1200000000000045,-6.5,-1.0,,-3.0,-4.0,-8.764400000000002
2018-04-27,-0.7676000000000016,-5.5,1.0,,-1.0,6.0,3.4283
2018-05-04,-0.09700000000000841,-7.0,9.0,,5.6702999999999975,14.0,1.5219999999999985
2018-05-11,7.328400000000002,-8.184199999999997,17.0,,10.5,15.0,-0.4318000000000026
2018-05-18,9.879999999999995,-3.5,12.0,,13.721999999999994,35.0,6.0
2018-05-25,19.419600000000003,-3.0,10.0,,12.0,25.0,7.3260000000000005
2018-06-01,18.197000000000003,-0.5,9.0,,6.0,54.0,9.323900000000002
2018-06-08,13.715000000000003,3.0,9.0,,5.0,65.0,13.0
2018-06-15,8.691999999999993,-2.0,13.0,,1.2539000000000016,68.0,8.0
2018-06-22,2.847999999999999,1.5,20.0,,8.0,67.0,7.245699999999999
2018-06-29,11.544999999999987,7.5,19.0,,6.0,37.0,7.269800000000004
2018-07-06,12.0,5.0,11.0,,2.683000000000007,2.0,2.0
2018-07-13,16.132999999999996,4.0,5.0,,-3.9758999999999958,-30.0,1.0
2018-07-20,8.175000000000011,-3.0,-11.0,,-14.0,-37.0,0.12839999999999918
2018-07-27,-5.5449999999999875,-9.5,-27.0,,-19.0,-64.0,-2.5585999999999984
2018-08-03,-10.650000000000006,-6.0,-22.0,,-15.683000000000007,-40.0,-1.0
2018-08-10,-14.284999999999982,-4.5,-16.5,,-6.5,-3.0,-1.5227999999999966
2018-08-17,-8.416000000000011,-1.25,-4.0,,1.0,18.0,-0.6916999999999973
2018-08-24,-5.239999999999995,0.5,6.0,,6.0,76.0,-2.711200000000005
2018-08-31,-0.8389999999999986,-2.0,6.0,,6.0,93.0,0.8940000000000055
2018-09-07,7.929999999999993,0.0,13.5,,11.5,41.0,3.983399999999996
2018-09-14,8.286999999999992,-3.25,9.0,,4.0,44.0,-3.436700000000002
2018-09-21,15.239999999999995,-1.0,9.0,,14.790700000000001,-25.0,5.776600000000002
2018-09-28,20.339,-2.700000000000003,0.5,,-3.0,-40.0,0.10599999999999454
2018-10-05,15.022999999999996,-3.0,0.0,,-2.6113,-35.0,1.5394000000000005
2018-10-12,15.954000000000008,1.0,6.0,,4.0,-62.0,5.767099999999999
2018-10-19,10.0,-0.5,9.0,,-2.040700000000001,-48.0,-1.0373000000000019
2018-10-26,6.331999999999994,1.7000000000000028,16.5,,17.5,-58.0,1.75
2018-11-02,8.507000000000005,2.0,11.0,,7.6113,-49.0,-1.7039000000000044
2018-11-09,2.0,1.0,1.5,,2.0,-23.0,-1.8367999999999967
2018-11-16,1.5689999999999884,3.0,9.0,,6.25,-11.0,-1.7393
2018-11-23,2.3530000000000086,3.0,9.5,,4.5,11.0,1.7338000000000022
2018-11-30,-3.0,0.5,2.0,,-1.0,14.0,2.3800000000000097
2018-12-07,-1.0,-1.0,5.5,,1.0,7.0,0.5696999999999974
2018-12-14,0.7190000000000225,-4.5,-8.0,,-11.0,-5.0,2.1173
2018-12-21,-2.5349999999999966,-4.5,-10.5,,-12.0,-8.0,-2.4838000000000022
2018-12-28,-2.1529999999999916,-1.7295000000000016,-1.2399999999999949,,-4.750699999999995,-4.5589999999999975,-1.1987000000000023
2019-01-04,0.3540000000000134,1.6766000000000005,-0.20399999999999352,,0.17499999999999716,-20.976,-0.046599999999997976
2019-01-11,-4.8700000000000045,-1.2128000000000014,-10.896699999999996,,-0.7121000000000066,-15.870000000000005,-1.6638999999999982
2019-01-18,-8.943999999999988,-2.941499999999998,-15.3519,,-6.139499999999998,-39.587999999999994,-1.4943999999999988
2019-01-25,-5.825000000000017,-4.229999999999997,-24.981800000000007,,-9.847800000000007,-37.916,-1.9718000000000018
2019-02-01,-7.332000000000022,-7.483400000000003,-29.4572,,-17.7363,-21.40299999999999,-0.5335000000000036
