date,US,KRW,THB,IDR_GT,PHP,CNH,IDR_BV,MYR,SGD,TWD
1999-01-01,0.11385000000000023,,,,,,,,,
1999-01-08,0.15105000000000057,,,,,,,,,
1999-01-15,0.1209100000000003,,,,,,,,,
1999-01-22,0.05878999999999923,,,,,,,,,
1999-01-29,0.0737300000000003,,,,,,,,,
1999-02-05,0.1415299999999995,,,,,,,,,
1999-02-12,0.15102999999999955,,,,,,,,,
1999-02-19,0.13041999999999998,,,,,,,,,
1999-02-26,0.15412999999999943,,,,,,,,,
1999-03-05,0.19773999999999958,,,,,,,,,
1999-03-12,0.16298000000000012,,,,,,,,,
1999-03-19,0.14124999999999943,,,,,,,,,
1999-03-26,0.2231500000000004,,,,,,,,,
1999-04-02,0.27646000000000015,,,,,,,,,
1999-04-09,0.17544000000000004,,,,,,,,,
1999-04-16,0.21384000000000025,,,,,,,,,
1999-04-23,0.22201000000000004,,,,,,,,,
1999-04-30,0.28781000000000034,,,,,,,,,
1999-05-07,0.3648800000000003,,,,,,,,,
1999-05-14,0.34715000000000007,,,,,,,,,
1999-05-21,0.25851999999999986,,,,,,,,,
1999-05-28,0.20887999999999973,,,,,,,,,
1999-06-04,0.25908,,,,,,,,,
1999-06-11,0.33040999999999965,,,,,,,,,
1999-06-18,0.28017000000000003,,,,,,,,,
1999-06-25,0.29160000000000075,,,,,,,,,
1999-07-02,0.2551199999999998,,,,,,,,,
1999-07-09,0.25624,,,,,,,,,
1999-07-16,0.1965300000000001,,,,,,,,,
1999-07-23,0.2738800000000001,,,,,,,,,
1999-07-30,0.27751000000000037,,,,,,,,,
1999-08-06,0.3507800000000003,,,,,,,,,
1999-08-13,0.2842399999999996,,,,,,,,,
1999-08-20,0.24833999999999978,,,,,,,,,
1999-08-27,0.1985399999999995,,,,,,,,,
1999-09-03,0.2623800000000003,,,,,,,,,
1999-09-10,0.2658699999999996,,,,,,,,,
1999-09-17,0.25963000000000047,,,,,,,,,
1999-09-24,0.23308000000000018,,,,,,,,,
1999-10-01,0.2773400000000006,,,,,,,,,
1999-10-08,0.25373,,,,,,,,,
1999-10-15,0.26659000000000077,,,,,,,,,
1999-10-22,0.26820999999999984,,,,,,,,,
1999-10-29,0.22836999999999996,,,,,,,,,
1999-11-05,0.20467999999999975,,,,,,,,,
1999-11-12,0.15592000000000006,,,,,,,,,
1999-11-19,0.16281999999999996,,,,,,,,,
1999-11-26,0.13369000000000053,,,,,,,,,
1999-12-03,0.19235999999999986,,,,,,,,,
1999-12-10,0.16024999999999956,,,,,,,,,
1999-12-17,0.14924999999999944,,,,,,,,,
1999-12-24,0.18210000000000015,,,,,,,,,
1999-12-31,0.20150999999999986,,,,,,,,,
2000-01-07,0.20267999999999997,,,,,,,,,
2000-01-14,0.2532900000000007,,,,,,,,,
2000-01-21,0.3170700000000002,,,,,,,,,
2000-01-28,0.0918000000000001,,,,,,,,,
2000-02-04,-0.09149999999999991,,,,,,,,,
2000-02-11,-0.01872000000000007,,,,,,,,,
2000-02-18,-0.14970000000000017,,,,,,,,,
2000-02-25,-0.0925900000000004,,,,,,,,,
2000-03-03,-0.1120599999999996,,,,,,,,,
2000-03-10,-0.15024000000000015,,,,,,,,,
2000-03-17,-0.29916000000000054,,,,,,,,,
2000-03-24,-0.43384,,,,,,,,,
2000-03-31,-0.4886499999999998,,,,,,,,,
2000-04-07,-0.5089600000000001,,,,,,,,,
2000-04-14,-0.41845,,,,,,,,,
2000-04-21,-0.3622300000000003,,,,,,,,,
2000-04-28,-0.48403999999999936,,,,,,,,,
2000-05-05,-0.31442999999999977,,,,,,,,,
2000-05-12,-0.3870100000000001,,,,,,,,,
2000-05-19,-0.34292999999999996,,,,,,,,,
2000-05-26,-0.4037600000000001,,,,,,,,,
2000-06-02,-0.3690800000000003,,,,,,,,,
2000-06-09,-0.4199200000000003,,,,,,,,,
2000-06-16,-0.3870300000000002,,,,,,,,,
2000-06-23,-0.35757999999999956,,,,,,,,,
2000-06-30,-0.3319700000000001,,,,,,,,,
2000-07-07,-0.2690999999999999,,,,,,,,,
2000-07-14,-0.2982300000000002,,,,,,,,,
2000-07-21,-0.3247099999999996,,,,,,,,,
2000-07-28,-0.3019400000000001,,,,,,,,,
2000-08-04,-0.2323599999999999,,,,,,,,,
2000-08-11,-0.5015099999999997,,,,,,,,,
2000-08-18,-0.49551999999999996,,,,,,,,,
2000-08-25,-0.4903499999999994,,,,,,,,,
2000-09-01,-0.39402000000000026,,,,,,,,,
2000-09-08,-0.36209000000000024,,,,,,,,,
2000-09-15,-0.22683999999999926,,,,,,,,,
2000-09-22,-0.21887999999999952,,,,,,,,,
2000-09-29,-0.2348699999999999,,,,,,,,,
2000-10-06,-0.16786999999999974,,,,,,,,,
2000-10-13,-0.10823999999999945,,,,,,,,,
2000-10-20,-0.19901999999999997,,,,,,,,,
2000-10-27,-0.24141000000000012,,,,,,,,,
2000-11-03,-0.1266499999999997,,,,,,,,,
2000-11-10,-0.1310400000000005,,,,,,,,,
2000-11-17,-0.18292999999999981,,,,,,,,,
2000-11-24,-0.24126000000000047,,,,,,,,,
2000-12-01,-0.09915999999999947,,,,,,,,,
2000-12-08,-0.14595999999999965,,,,,,,,,
2000-12-15,-0.18733000000000022,,,,,,,,,
2000-12-22,-0.07752999999999943,,,,,,,,,
2000-12-29,-0.04129999999999967,,,,,,,,,
2001-01-05,0.36192000000000046,,,,,,,,,
2001-01-12,0.3562499999999993,,,,,,,,,
2001-01-19,0.4365099999999993,,,,,,,,,
2001-01-26,0.45225000000000026,,,,,,,,,
2001-02-02,0.5072299999999998,,,,,,,,,
2001-02-09,0.3751199999999999,,,,,,,,,
2001-02-16,0.3711600000000006,,,,,,,,,
